PDB_ID, LIG_ID, Source, Assay, Operator, Value, Units
1TVO, FRZ, PDB_BIND, Ki, =, 0.14, uM
1TVO, FRZ, BINDING_MOAD, Ki, 0.14, =, uM
1TVO, FRZ, BINDING_DB, NA, NA, NA, NA
3I60, E86, PDB_BIND, Ki, =, 2, nM
3I60, E86, BINDING_MOAD, Ki, 2, <, nM
3I60, E86, BINDING_DB, NA, NA, NA, NA
1GOL, ATP, BINDING_DB, NA, NA, NA, NA
4I5H, G17, PDB_BIND, Ki, <, 2, nM
4I5H, G17, BINDING_MOAD, Ki, 2, <, nM
2Z7L, S91, BINDING_MOAD, , , , 
4G6N, EK0, BINDING_DB, NA, NA, NA, NA
4G6O, E28, BINDING_DB, NA, NA, NA, NA
2ERK, PTR, BINDING_DB, NA, NA, NA, NA
1PME, SB2, BINDING_MOAD, Ki, 0.76, =, nM
1PME, SB2, BINDING_DB, NA, NA, NA, NA
1WZY, F29, PDB_BIND, IC50, =, 0.56, uM
1WZY, F29, BINDING_MOAD, ic50, 0.56, =, uM
1WZY, F29, BINDING_DB, NA, NA, NA, NA
4H3Q, ANP, BINDING_MOAD, , , , 
4H3P, ANP, BINDING_MOAD, , , , 
4H3P, ANP, BINDING_MOAD, , , , 
2OJJ, 82A, PDB_BIND, Ki, =, 2, nM
2OJJ, 82A, BINDING_MOAD, Ki, 0.002, =, uM
2OJJ, 82A, BINDING_DB, NA, NA, NA, NA
2OJI, 33A, PDB_BIND, Ki, =, 86, nM
2OJI, 33A, BINDING_DB, NA, NA, NA, NA
3W55, 1FM, PDB_BIND, IC50, =, 0.08, uM
3W55, 1FM, BINDING_DB, NA, NA, NA, NA
4FV8, E63, BINDING_DB, NA, NA, NA, NA
4FV9, E71, BINDING_DB, NA, NA, NA, NA
4FV4, EK7, BINDING_DB, NA, NA, NA, NA
4FV7, E94, BINDING_DB, NA, NA, NA, NA
4FV0, EK3, BINDING_DB, NA, NA, NA, NA
4FV1, EK4, BINDING_DB, NA, NA, NA, NA
4FV2, EK5, BINDING_DB, NA, NA, NA, NA
4ERK, OLO, PDB_BIND, IC50, =, 27, uM
4ERK, OLO, BINDING_MOAD, ic50, 27, =, uM
4ERK, OLO, BINDING_DB, NA, NA, NA, NA
4FV5, EK9, BINDING_DB, NA, NA, NA, NA
3ERK, SB4, PDB_BIND, IC50, =, 18, uM
3ERK, SB4, BINDING_MOAD, ic50, 18, =, uM
3ERK, SB4, BINDING_DB, NA, NA, NA, NA
3SA0, NRA, BINDING_MOAD, , , , 
3SA0, NRA, BINDING_DB, NA, NA, NA, NA
4GT3, ATP, BINDING_DB, NA, NA, NA, NA
4FUY, EK2, BINDING_DB, NA, NA, NA, NA
4FUX, E75, BINDING_DB, NA, NA, NA, NA
3I5Z, Z48, PDB_BIND, Ki, =, 2, nM
3I5Z, Z48, BINDING_MOAD, Ki, 2, =, nM
3I5Z, Z48, BINDING_DB, NA, NA, NA, NA
3QYW, 6PB, BINDING_MOAD, , , , 
3QYZ, Z8B, BINDING_MOAD, , , , 
4FV6, E57, BINDING_DB, NA, NA, NA, NA
 NA, NA, NA
3QYW, 6PB, BINDING_MOAD, , , , 
3QYZ, Z8B, BINDING_MOAD, , , , 
4FV6, E57, BINDING_DB, NA, NA, NA, NA
