PDB_ID	LIG_ID
2OJG	lig
1GOL	ATP
1PME	SB2
1TVO	FRZ
1WZY	F29
2OJI	33A
2OJJ	82A
2Y9Q	ANP
3C9W	HMY
3ERK	SB4
3I5Z	Z48
3I60	E86
3QYW	6PB
3TEI	ANP
3W55	1FM
4ERK	OLO
4FMQ	ANP
4FUX	E75
4FV0	EK3
4FV1	EK4
4FV2	EK5
4FV3	EK6
4FV4	EK7
4FV5	EK9
4FV6	E57
4FV8	E63
4FV9	E71
4G6N	EK0
4G6O	E28
4GSB	PGE
4GT3	ATP
4GVA	ADP
4H3P	ANP
4H3Q	ANP
4I5H	G17
4IZ5	ADP
4N0S	DHC
4N4S	2H1
4O6E	2SH
4QP3	36Q
4QP4	36O
4QP7	363
4QP8	362
4QP9	35X
4QPA	35W
4QTA	38Z
4QTE	390
4QYY	3G7
4S32	ANP
4S33	ANP
4S34	ANP
4XJ0	41B
4XNE	TT4
4XOY	DX4
4XOZ	620
4XP2	TT4
4XRJ	620
4ZZM	CQ6
4ZZN	CQ8
4ZZO	CQ3
5AX3	5ID
5BUE	4V8
5BUI	4V9
5BUJ	4VB
5BVD	4VF
5BVE	4VG
5BVF	4VJ
5HD4	38Z
5HD7	38Z
5KE0	6S9
5LCJ	6TS
5LCK	6TT
5NGU	8X2
5NHF	8X5
5NHL	8XB
5NHO	8XN
5NHP	8XK
5NHV	8QB
5U6I	81Y
5V60	ACP
